Q,A
Recommend a Pinot Noir from United States under $18.,"Try a 2018 Pinot Noir from Napa Valley, United States.
It’s rated 4.0, priced at $13.86.
User review: “Vanilla, long soft warm summer lingering in the back of my mouth. Yummy is the perfect word. ”"
Recommend a Shiraz/Syrah from Spain under $18.,"Try a 2019 Shiraz/Syrah from Vino de España, Spain.
It’s rated 4.2, priced at $13.72.
User review: “Very drinkable balanced red, perfect with a Sunday evening steak!”"
Recommend a Shiraz/Syrah from Spain under $18.,"Try a 2019 Shiraz/Syrah from Vino de España, Spain.
It’s rated 4.2, priced at $13.72.
User review: “So dark it's almost black, velvety and smooth and quite sweet. Lots of dark fruit and a bit of vanilla, dangerously drinkable”"
Recommend a Sangiovese from Italy under $27.,"Try a 2018 Sangiovese from Abruzzo, Italy.
It’s rated 4.3, priced at $22.26.
User review: “nice evening with friends, enjoyed with ossobuco with risotto 🍷🍷🍷”"
Recommend a Tempranillo from Spain under $40.,"Try a 2017 Tempranillo from Ribera del Duero, Spain.
It’s rated 4.1, priced at $35.69.
User review: “Cena familiar en vacaciones ”"
Recommend a Shiraz/Syrah from Spain under $18 for a romantic dinner.,"Try a 2019 Shiraz/Syrah from Vino de España, Spain.
It’s rated 4.2, priced at $13.72.
Perfect for a romantic dinner: “oak cherry cherry blackberry tobacco pepper@”"
Recommend a Grenache from France under $18 as a business gift.,"Try a 2019 Grenache from Cairanne, France.
It’s rated 4.0, priced at $13.86.
Perfect as a business gift: “Great for the price point, from jade, black and blue fruits 
12”"
Recommend a Cabernet Sauvignon from Italy under $15 for a relaxed Netflix night.,"Try a 2020 Cabernet Sauvignon from Terre Siciliane, Italy.
It’s rated 4.2, priced at $10.22.
Perfect for a relaxed Netflix night: “cherry pomegranate vanilla tobacco oak apple apple blossoms brown bread baking spice ”"
Recommend a Corvina from Italy under $13 to impress a wine snob.,"Try a 2018 Corvina from Veneto, Italy.
It’s rated 4.1, priced at $8.76.
Perfect to impress a wine snob: “Disappointing. It reminds me of communion wine. I will certainly not buy this wine again. ”"
Recommend a Barbera from Italy under $71 for a beach picnic.,"Try a 2018 Barbera from Barbera d'Asti, Italy.
It’s rated 3.9, priced at $66.50.
Perfect for a beach picnic: “Rhino wine.  Very drinkable nice barbera. Had with Beef Wellington. Delicious. Christmas Day 2022 ”"
Recommend a Aglianico from Italy under $24 for a steak dinner.,"Try a 2016 Aglianico from Irpinia Campi Taurasini, Italy.
It’s rated 4.2, priced at $19.59.
Perfect for a steak dinner: “Tasty, bold and and fruity”"
Recommend a Aglianico from Italy under $24 as a budget-friendly party wine.,"Try a 2016 Aglianico from Irpinia Campi Taurasini, Italy.
It’s rated 4.2, priced at $19.59.
Perfect as a budget-friendly party wine: “Excellent Aglianico from Taurasi. 2016 is the greatest intage among 2015~2017. At the last glass, it feels like chocolate with very high cacao contents. My best Aglianico. Highly recommended to everyone who wish to try Aglianico. ”"
Recommend a Sangiovese from Italy under $27 for sipping while reading.,"Try a 2018 Sangiovese from Abruzzo, Italy.
It’s rated 4.3, priced at $22.26.
Perfect for sipping while reading: “ chocolate,plums, blackcurrant; 
Excellent Italian red ”"
Recommend a Sangiovese from Italy under $27 for someone who’s new to red wine.,"Try a 2018 Sangiovese from Abruzzo, Italy.
It’s rated 4.3, priced at $22.26.
Perfect for someone who’s new to red wine: “Dark red in colour, nose with cherry, blackberries, plum, cedar and tobacco, wine that hits like a rock”"
Recommend a Shiraz/Syrah from Australia under $32 for someone who loves bold flavors.,"Try a 2019 Shiraz/Syrah from Barossa Valley, Australia.
It’s rated 4.0, priced at $27.86.
Perfect for someone who loves bold flavors: “Not a bad drop. Blackberry plum and anise well made and balanced. Good drinking for the price 2019 enjoyed in 2021   ”"
