timestamp,transcript,intent,tone,confidence,audio_file
2025-05-28T06:21:09.738126,I want something fruity for seafood,product_recommendation,neutral,0.352,C:\Users\phogo\AppData\Local\Temp\tmpagbmt041.mp3
2025-05-28T06:29:49.826682,I want something fruity for seafood,product_recommendation,neutral,0.352,C:\Users\phogo\AppData\Local\Temp\tmpl430bqke.mp3
2025-05-28T06:32:42.744941,I want something fruity for seafood,product_recommendation,neutral,0.352,C:\Users\phogo\AppData\Local\Temp\tmpvku98_sw.mp3
2025-05-28T06:33:24.734512,What wine goes with salmon?,check_inventory,neutral,0.282,C:\Users\phogo\AppData\Local\Temp\tmphh5gcfn3.mp3
2025-05-28T06:34:10.469631,I want something fruity and light,product_recommendation,neutral,0.351,C:\Users\phogo\AppData\Local\Temp\tmp2w11q6ov.mp3
2025-05-28T06:47:00.556949,I want something fruity for seafood,wine_pairing_request,neutral,0.479,C:\Users\phogo\AppData\Local\Temp\tmpq9dqoph8.mp3
2025-05-28T06:47:51.319875,I need champagne for a wedding,gift_request,neutral,0.583,C:\Users\phogo\AppData\Local\Temp\tmprsafrcv8.mp3
2025-05-28T06:48:10.194429,I want something bold and fruity,taste_preference_query,neutral,0.717,C:\Users\phogo\AppData\Local\Temp\tmpsjskeu_l.mp3
2025-05-28T06:53:09.257615,I want something bold and fruity,taste_preference_query,neutral,0.717,C:\Users\phogo\AppData\Local\Temp\tmp9q4rf_pi.mp3
2025-05-28T06:53:51.768001,I need something light and crisp,wine_pairing_request,neutral,0.479,C:\Users\phogo\AppData\Local\Temp\tmp7dultic_.mp3
2025-05-30T11:49:41.153716,"Hi Amy, what should I focus on today?",check_inventory,neutral,0.351,C:\Users\phogo\AppData\Local\Temp\tmprkgkmk2n.mp3
2025-05-30T11:50:02.687735,"Hi, Annie. What should I focus on today?",check_inventory,neutral,0.264,C:\Users\phogo\AppData\Local\Temp\tmphbsa1at0.mp3
2025-05-30T11:50:33.930962,"Amy, brief me on Barcelona Wine Bar.",add_to_order,neutral,0.351,C:\Users\phogo\AppData\Local\Temp\tmpe7xnidu4.mp3
2025-05-30T12:03:54.125230,"Amy, what should I focus on today?",check_inventory,neutral,0.401,C:\Users\phogo\AppData\Local\Temp\tmp8053v3ui.mp3
2025-05-30T12:04:34.469437,"Amy, brief me on Barcelona Wine Bar.",add_to_order,neutral,0.351,C:\Users\phogo\AppData\Local\Temp\tmpi34eyeae.mp3
2025-05-30T12:04:41.795432,What should I focus on today?,check_inventory,neutral,0.352,C:\Users\phogo\AppData\Local\Temp\tmpqkaq17ur.mp3
2025-05-30T12:04:47.461818,Tell me about Bin 100 Restaurant,flavor_profile_inquiry,neutral,0.35,C:\Users\phogo\AppData\Local\Temp\tmp7zy330uj.mp3
2025-05-30T12:04:47.575319,Give me talking points for my Spiga meeting,check_inventory,neutral,0.351,C:\Users\phogo\AppData\Local\Temp\tmp2wfw018m.mp3
2025-05-30T12:04:54.920505,Tell me about Connecticut Distributors,flavor_profile_inquiry,neutral,0.42,C:\Users\phogo\AppData\Local\Temp\tmp_vaypkrp.mp3
2025-05-30T12:32:50.355774,"Amy, what should I focus on today?",daily_briefing,neutral,0.514,C:\Users\phogo\AppData\Local\Temp\tmpqknjnas3.mp3
2025-05-30T12:32:58.333960,Brief me on Barcelona Wine Bar,customer_intelligence,neutral,0.439,C:\Users\phogo\AppData\Local\Temp\tmpx6i54noj.mp3
2025-05-30T12:33:05.009997,What should I know about Spiga?,customer_intelligence,neutral,0.813,C:\Users\phogo\AppData\Local\Temp\tmphid1_n6z.mp3
2025-05-30T12:33:08.072474,What should I know about Spiga?,customer_intelligence,neutral,0.813,C:\Users\phogo\AppData\Local\Temp\tmpnvuph_e3.mp3
2025-05-30T12:33:12.523640,Give me talking points for my Spiga meeting,meeting_preparation,neutral,0.8,C:\Users\phogo\AppData\Local\Temp\tmp6fz4u0xq.mp3
2025-05-30T12:33:18.267085,Tell me about Connecticut Distributors,distributor_intelligence,neutral,0.609,C:\Users\phogo\AppData\Local\Temp\tmpisf5u7sf.mp3
2025-05-30T12:33:33.781944,What should I focus on today?,daily_briefing,neutral,0.6,C:\Users\phogo\AppData\Local\Temp\tmpffrxo0b3.mp3
2025-05-30T12:34:24.390806,What should I focus on today?,daily_briefing,neutral,0.6,C:\Users\phogo\AppData\Local\Temp\tmpv0ow3ds4.mp3
2025-05-30T12:34:29.453721,What should I know about Spiga?,customer_intelligence,neutral,0.813,C:\Users\phogo\AppData\Local\Temp\tmpxxhfjfyh.mp3
2025-05-30T12:58:42.289855,What should I focus on today?,daily_briefing,neutral,0.6,C:\Users\phogo\AppData\Local\Temp\tmp9m3626bw.mp3
2025-05-30T12:59:18.044770,"Amy, what should I focus on today?",daily_briefing,neutral,0.514,C:\Users\phogo\AppData\Local\Temp\tmpkevtosld.mp3
2025-05-30T12:59:52.301437,What should I focus on today?,daily_briefing,neutral,0.6,C:\Users\phogo\AppData\Local\Temp\tmple776hpj.mp3
2025-05-30T12:59:59.202813,Brief me on Barcelona Wine Bar,customer_intelligence,neutral,0.439,C:\Users\phogo\AppData\Local\Temp\tmpggu0cfip.mp3
2025-05-30T13:02:09.794249,"Aimee, send an email to Bob and CC Paul",add_to_order,neutral,0.469,C:\Users\phogo\AppData\Local\Temp\tmp6cbfj7pr.mp3
2025-05-30T13:26:28.705417,What should I focus on today?,daily_briefing,neutral,0.6,C:\Users\phogo\AppData\Local\Temp\tmp3mx5lv8o.mp3
2025-05-30T15:20:13.817300,What should I focus on today?,daily_briefing,neutral,0.6,C:\Users\phogo\AppData\Local\Temp\tmpa_m7d7mi.mp3
2025-05-30T15:22:47.663978,Brief me on Barcelona Wine Bar,customer_intelligence,neutral,0.439,C:\Users\phogo\AppData\Local\Temp\tmpjbaey6ec.mp3
2025-05-30T15:22:54.986949,What should I know about Spiga?,customer_intelligence,neutral,0.813,C:\Users\phogo\AppData\Local\Temp\tmpl23613hu.mp3
2025-05-30T15:22:59.239506,Give me talking points for my Spiga meeting,meeting_preparation,neutral,0.8,C:\Users\phogo\AppData\Local\Temp\tmpbbykxsq1.mp3
2025-05-30T15:22:59.399290,Tell me about Bin 100 Restaurant,customer_intelligence,neutral,0.817,C:\Users\phogo\AppData\Local\Temp\tmpyum54or_.mp3
2025-05-30T15:24:03.233281,What should I know about Spiga?,customer_intelligence,neutral,0.813,C:\Users\phogo\AppData\Local\Temp\tmpyhv_naqq.mp3
2025-05-30T15:28:21.295964,Brief me on Barcelona Wine Bar,customer_intelligence,neutral,0.439,C:\Users\phogo\AppData\Local\Temp\tmpi21u2n6x.mp3
2025-05-30T15:28:26.599297,What should I know about Spiga?,customer_intelligence,neutral,0.813,C:\Users\phogo\AppData\Local\Temp\tmpj71w2fka.mp3
2025-05-30T15:28:30.292968,What is missing from Bin 100 wine list?,gap_analysis,neutral,0.802,C:\Users\phogo\AppData\Local\Temp\tmps1mitvjm.mp3
2025-05-30T15:28:33.686341,Give me talking points for my Spiga meeting,meeting_preparation,neutral,0.8,C:\Users\phogo\AppData\Local\Temp\tmpf_pju07y.mp3
2025-05-30T15:28:35.916358,Tell me about Connecticut Distributors,distributor_intelligence,neutral,0.609,C:\Users\phogo\AppData\Local\Temp\tmpjgluxk15.mp3
2025-05-30T15:28:40.012191,Give me talking points for my Spiga meeting,meeting_preparation,neutral,0.8,C:\Users\phogo\AppData\Local\Temp\tmp13fyuk7b.mp3
2025-05-30T15:33:25.638169,Tell me about Bin 100 Restaurant,customer_intelligence,neutral,0.817,C:\Users\phogo\AppData\Local\Temp\tmpsin_aucd.mp3
2025-05-30T15:33:37.034971,Brief me on Barcelona Wine Bar,customer_intelligence,neutral,0.439,C:\Users\phogo\AppData\Local\Temp\tmpkj1r8a2f.mp3
2025-05-30T15:33:45.136219,Give me talking points for my Spiga meeting,meeting_preparation,neutral,0.8,C:\Users\phogo\AppData\Local\Temp\tmpxepi97zl.mp3
2025-05-30T15:33:49.214685,Tell me about Connecticut Distributors,distributor_intelligence,neutral,0.609,C:\Users\phogo\AppData\Local\Temp\tmpm6ug7cob.mp3
2025-05-30T16:09:25.286849,What should I focus on today?,daily_briefing,neutral,0.6,C:\Users\phogo\AppData\Local\Temp\tmp2p6g6qgc.mp3
2025-05-30T16:09:31.855822,What should I know about Spiga?,customer_intelligence,neutral,0.813,C:\Users\phogo\AppData\Local\Temp\tmpxvgapyws.mp3
2025-05-30T16:09:33.263992,What should I know about Spiga?,customer_intelligence,neutral,0.813,C:\Users\phogo\AppData\Local\Temp\tmpd44_hk50.mp3
2025-05-30T16:09:35.405519,What is missing from Bin 100 wine list?,gap_analysis,neutral,0.802,C:\Users\phogo\AppData\Local\Temp\tmpv4gg_j3m.mp3
2025-05-30T16:09:40.585401,What should I know about Spiga?,customer_intelligence,neutral,0.813,C:\Users\phogo\AppData\Local\Temp\tmpcvzg2pb2.mp3
2025-05-30T16:09:43.288774,Give me talking points for my Spiga meeting,meeting_preparation,neutral,0.8,C:\Users\phogo\AppData\Local\Temp\tmp64u1x_d3.mp3
2025-05-30T16:09:44.391809,What should I focus on today?,daily_briefing,neutral,0.6,C:\Users\phogo\AppData\Local\Temp\tmpazz3wcel.mp3
2025-05-30T16:09:45.081796,Give me talking points for my Spiga meeting,meeting_preparation,neutral,0.8,C:\Users\phogo\AppData\Local\Temp\tmpfpkboiiw.mp3
2025-05-30T16:09:48.622668,Brief me on Barcelona Wine Bar,customer_intelligence,neutral,0.816,C:\Users\phogo\AppData\Local\Temp\tmpb37vn3e4.mp3
2025-05-30T16:10:12.753421,Tell me about Bin 100 Restaurant,customer_intelligence,neutral,0.817,C:\Users\phogo\AppData\Local\Temp\tmpa0co1v86.mp3
2025-05-30T16:10:16.903316,Tell me about Bin 100 Restaurant,customer_intelligence,neutral,0.817,C:\Users\phogo\AppData\Local\Temp\tmp62gal61s.mp3
2025-05-30T16:10:16.932104,What should I know about Spiga?,customer_intelligence,neutral,0.813,C:\Users\phogo\AppData\Local\Temp\tmpb5dnfgd6.mp3
2025-05-30T16:10:31.102725,Give me talking points for my Spiga meeting,meeting_preparation,neutral,0.8,C:\Users\phogo\AppData\Local\Temp\tmpzg9z41cx.mp3
2025-05-30T16:10:39.102737,Tell me about Connecticut Distributors,distributor_intelligence,neutral,0.609,C:\Users\phogo\AppData\Local\Temp\tmp5trui059.mp3
2025-05-30T16:10:45.137428,What should I focus on today?,daily_briefing,neutral,0.6,C:\Users\phogo\AppData\Local\Temp\tmpnlsk2s19.mp3
2025-05-30T16:11:08.007264,what pairs well with salmon?,wine_pairing_request,neutral,0.495,C:\Users\phogo\AppData\Local\Temp\tmpszk1hgw1.mp3
2025-05-30T16:11:40.815740,give me a list of all bubbles under $30,check_inventory,neutral,0.421,C:\Users\phogo\AppData\Local\Temp\tmp3xm6_ixs.mp3
2025-05-30T16:12:25.180401,text my next account and let them know I'm running 10 minutes late,send_text,neutral,0.558,C:\Users\phogo\AppData\Local\Temp\tmpmel_9oqs.mp3
2025-05-30T16:13:00.858216,"Amy, tell me what I should focus on today.",customer_intelligence,neutral,0.476,C:\Users\phogo\AppData\Local\Temp\tmp4ser717u.mp3
2025-05-30T16:13:36.545207,"Amy, I need four cases of Dom Perignon sent to Barcelona.",add_to_order,neutral,0.528,C:\Users\phogo\AppData\Local\Temp\tmpza8j5az_.mp3
2025-05-30T16:28:33.337767,What should I focus on today?,daily_briefing,neutral,0.6,C:\Users\phogo\AppData\Local\Temp\tmptma47_zb.mp3
2025-05-30T16:29:29.586670,What should I focus on today?,daily_briefing,neutral,0.6,C:\Users\phogo\AppData\Local\Temp\tmpjfmzwr8d.mp3
2025-05-30T16:30:41.908878,Tell me about Bin 100 Restaurant,customer_intelligence,neutral,0.817,C:\Users\phogo\AppData\Local\Temp\tmptnvj4_9w.mp3
2025-05-30T16:30:49.684768,Tell me about Bin 100 Restaurant,customer_intelligence,neutral,0.817,C:\Users\phogo\AppData\Local\Temp\tmp3qpe89id.mp3
2025-05-30T16:32:08.809438,Give me talking points for my Spiga meeting,meeting_preparation,neutral,0.8,C:\Users\phogo\AppData\Local\Temp\tmp7casr9cr.mp3
2025-05-30T19:16:16.945385,What should I focus on today?,customer_intelligence,neutral,0.1789632948689601,C:\Users\phogo\AppData\Local\Temp\tmpwzajaky1.mp3
2025-05-30T19:16:26.222659,What should I know about Spiga?,customer_intelligence,neutral,0.2521164385152163,C:\Users\phogo\AppData\Local\Temp\tmpvwl3zaci.mp3
2025-05-30T19:16:36.677299,Tell me about Connecticut Distributors,customer_intelligence,neutral,0.26066662003287894,C:\Users\phogo\AppData\Local\Temp\tmpjt7_s26c.mp3
2025-05-30T19:16:43.609118,Tell me about Bin 100 Restaurant,customer_intelligence,neutral,0.46135904458525223,C:\Users\phogo\AppData\Local\Temp\tmpcjpn59bm.mp3
2025-05-30T19:16:51.895910,What should I know about Spiga?,customer_intelligence,neutral,0.2521164385152163,C:\Users\phogo\AppData\Local\Temp\tmp7vq57rzw.mp3
2025-05-30T19:16:59.883621,What is missing from Bin 100 wine list?,customer_intelligence,neutral,0.1859958754715049,C:\Users\phogo\AppData\Local\Temp\tmpmx3hcsp4.mp3
2025-05-30T19:17:03.848995,Give me talking points for my Spiga meeting,customer_intelligence,neutral,0.1474629206905882,C:\Users\phogo\AppData\Local\Temp\tmput9e_q9_.mp3
2025-05-30T19:17:10.261785,Brief me on Barcelona Wine Bar,customer_intelligence,neutral,0.5841552347847631,C:\Users\phogo\AppData\Local\Temp\tmppvqrbssb.mp3
2025-05-30T19:19:44.361760,This is a test message,add_to_order,neutral,0.11297801465613135,C:\Users\phogo\AppData\Local\Temp\tmpj2vn7__4.mp3
2025-05-30T19:29:32.710353,What should I focus on today Amy?,customer_intelligence,neutral,0.18377488705640363,C:\Users\phogo\AppData\Local\Aimee_Audio\response_1748647771.mp3
2025-05-30T19:29:46.827779,Brief me on Barcelona Wine Bar,customer_intelligence,neutral,0.5841552347847631,C:\Users\phogo\AppData\Local\Aimee_Audio\response_1748647786.mp3
2025-05-30T19:29:54.251988,Tell me about Bin 100 Restaurant,customer_intelligence,neutral,0.46135904458525223,C:\Users\phogo\AppData\Local\Aimee_Audio\response_1748647794.mp3
2025-05-30T19:29:59.031757,What should I know about Spiga?,customer_intelligence,neutral,0.2521164385152163,C:\Users\phogo\AppData\Local\Aimee_Audio\response_1748647798.mp3
2025-05-30T19:30:03.995654,Give me talking points for my Spiga meeting,customer_intelligence,neutral,0.1474629206905882,C:\Users\phogo\AppData\Local\Aimee_Audio\response_1748647803.mp3
